timestamp,floor,unit,water_usage,num_residents,unit_size
2024-09-16 00:00:00,1,1,8.4,1,103
2024-09-16 01:00:00,1,1,10.53,1,103
2024-09-16 02:00:00,1,1,10.42,1,103
2024-09-16 03:00:00,1,1,14.84,1,103
2024-09-16 04:00:00,1,1,10.03,1,103
2024-09-16 05:00:00,1,1,12.05,1,103
2024-09-16 06:00:00,1,1,16.77,1,103
2024-09-16 07:00:00,1,1,14.15,1,103
2024-09-16 08:00:00,1,1,15.64,1,103
2024-09-16 09:00:00,1,1,18.02,1,103
2024-09-16 10:00:00,1,1,15.53,1,103
2024-09-16 11:00:00,1,1,13.38,1,103
2024-09-16 12:00:00,1,1,7.6,1,103
2024-09-16 13:00:00,1,1,8.87,1,103
2024-09-16 14:00:00,1,1,10.45,1,103
2024-09-16 15:00:00,1,1,7.56,1,103
2024-09-16 16:00:00,1,1,5.71,1,103
2024-09-16 17:00:00,1,1,4.71,1,103
2024-09-16 18:00:00,1,1,3.99,1,103
2024-09-16 19:00:00,1,1,5.99,1,103
2024-09-16 20:00:00,1,1,4.76,1,103
2024-09-16 21:00:00,1,1,7.77,1,103
2024-09-16 22:00:00,1,1,4.52,1,103
2024-09-16 23:00:00,1,1,12.1,1,103
2024-09-17 00:00:00,1,1,10.33,1,103
2024-09-17 01:00:00,1,1,7.6,1,103
2024-09-17 02:00:00,1,1,7.5,1,103
2024-09-17 03:00:00,1,1,8.8,1,103
2024-09-17 04:00:00,1,1,13.1,1,103
2024-09-17 05:00:00,1,1,20.87,1,103
2024-09-17 06:00:00,1,1,18.48,1,103
2024-09-17 07:00:00,1,1,12.67,1,103
2024-09-17 08:00:00,1,1,10.54,1,103
2024-09-17 09:00:00,1,1,8.79,1,103
2024-09-17 10:00:00,1,1,13.31,1,103
2024-09-17 11:00:00,1,1,12.26,1,103
2024-09-17 12:00:00,1,1,11.01,1,103
2024-09-17 13:00:00,1,1,9.53,1,103
2024-09-17 14:00:00,1,1,6.43,1,103
2024-09-17 15:00:00,1,1,7.88,1,103
2024-09-17 16:00:00,1,1,4.05,1,103
2024-09-17 17:00:00,1,1,4.54,1,103
2024-09-17 18:00:00,1,1,5.51,1,103
2024-09-17 19:00:00,1,1,3.58,1,103
2024-09-17 20:00:00,1,1,9.4,1,103
2024-09-17 21:00:00,1,1,5.46,1,103
2024-09-17 22:00:00,1,1,8.26,1,103
2024-09-17 23:00:00,1,1,8.04,1,103
2024-09-18 00:00:00,1,1,9.03,1,103
2024-09-18 01:00:00,1,1,13.88,1,103
2024-09-18 02:00:00,1,1,15.96,1,103
2024-09-18 03:00:00,1,1,16.45,1,103
2024-09-18 04:00:00,1,1,10.46,1,103
2024-09-18 05:00:00,1,1,12.68,1,103
2024-09-18 06:00:00,1,1,15.47,1,103
